"","lea_street","City","lea_state","lea_zip"
"200","7107 North Black Canyon Highway","Phoenix","AZ","85021"
"201","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"202","Navajo Boulevard","Chinle","AZ","86503"
"203","Cottonwood, AZ Cottonwood is a city in Yavapai county, Arizona","Cottonwood","AZ",NA
"204","6313 W SOUTHERN AVE","LAVEEN","AZ","85339"
"205","P.O. Box 2000","Red Valley","AZ","86544"
"206","4747 West Calle Vicam","Tucson","AZ","85757"
"207","200 North Stone Avenue","Tucson","AZ","85701"
"208","4250 West 16th Street","Yuma","AZ","85364"
"209","2645 North 24th Street","Phoenix","AZ","85008"
"210","2702 East Flower Street","Phoenix","AZ","85016"
"211","12450 West Maryland Avenue","Litchfield Park","AZ","85340"
"212","23550 S Tower Mountain Road","Crown King","AZ","86343"
"213","5580 West Chandler Boulevard","Chandler","AZ","85226"
"214","2325 West Sunset Road","Tucson","AZ","85741"
"215","4837 East McDowell Road","Phoenix","AZ","85008"
"216","6880 East Broadway Boulevard","Tucson","AZ","85710"
"217","5741 Ironwood Street","Tucson","AZ","85708"
"218","17667 North 91st Avenue","Peoria","AZ","85382"
"219","3050 West Agua Fria Freeway","Phoenix","AZ","85027"
"220","20402 North 15th Avenue","Phoenix","AZ","85027"
"221","P.O. Box 2570","Dennehotso","AZ","86535"
"222","5821 West Beverly Lane","Glendale","AZ","85306"
"223","3686 West Orange Grove Road","Tucson","AZ","85741"
"224","1350 North Arcadia Avenue","Tucson","AZ","85712"
"225","3833 East 2nd Street","Tucson","AZ","85716"
"226","5599 Arizona 95","Fort Mohave","AZ","86426"
"227","1240 South Recycler Road","Cornville","AZ","86325"
"228","798 Prickly Pear Drive","Globe","AZ","85501"
"229","HC 63 Box G","Winslow","AZ","86047"
"230","852 West 250 North","Pima","AZ","85543"
"231","P.O. Box 80068","Cibecue","AZ","85911"
"232","7081 North Central Highway","McNeal","AZ","85617"
"233","1132 East 12th Street","Douglas","AZ","85607"
"234","108 Stadium Street","Duncan","AZ","85534"
"235","15802 North Parkview Place","Surprise","AZ","85374"
"236","Glendale, AZ Glendale is a city in Maricopa county, Arizona","Glendale","AZ",NA
"237","2435 East Pecan Road","Phoenix","AZ","85040"
"238","3950 North 53rd Avenue","Phoenix","AZ","85031"
"239","1619 East Main Street","Mesa","AZ","85203"
"240","2450 West South Mountain Avenue","Phoenix","AZ","85041"
"241","18052 North Black Canyon Highway","Phoenix","AZ","85053"
"242","1858 East Brown Road","Mesa","AZ","85203"
"243","1601 West Main Street","Mesa","AZ","85202"
"244","8495 East Broadway Boulevard","Tucson","AZ","85710"
"245","3025 North Winstel Boulevard","Tucson","AZ","85716"
